一级       0－100                      魔法学徒
二级       101－500                  见习魔法师
三级       501－1000                见习魔法师
四级       1001－2500              魔法师
五级       2501－5000              魔法师
六级       5001－8000              高级魔法师
七级       8001－12000            高级魔法师
八级       12001－16000          大魔法师
九级       16001－20000          大魔法师
十级       20001－25000          魔导师
十一级    25001－35000          魔导师
十二级    35001－50000          大魔导师
十三级    50001－80000          大魔导师
十四级    80001－120000        护国法师
十五级    120001－180000      护国法师
十六级    180001－250000      魔神
十七级    250001－400000      魔神
十八级    400001－                 魔界至尊

 等级              魔力                    职位
